ElapsedTime,ActiveDrones,DisabledDrones,MapExplorationPercentage,VictimsDiscovered,VictimsRescued,TotalVictims
1.05,7,0,0.47,0,0,1
2.15,13,0,0.90,0,0,1
3.20,15,0,1.15,0,0,1
4.22,15,0,1.43,0,0,1
5.22,15,0,1.98,0,0,1
6.23,15,0,2.04,0,0,1
7.26,15,0,2.32,0,0,1
8.54,15,0,2.72,0,0,1
9.72,15,0,3.00,0,0,1
10.74,15,0,3.25,0,0,1
11.77,15,0,3.57,0,0,1
12.79,15,0,3.75,0,0,1
13.81,15,0,3.92,0,0,1
14.83,15,0,4.12,0,0,1
15.83,15,0,4.31,0,0,1
16.90,15,0,4.38,0,0,1
17.91,15,0,4.50,0,0,1
18.91,15,0,4.57,0,0,1
19.92,15,0,5.22,0,0,1
20.93,15,0,5.47,0,0,1
21.94,15,0,5.60,0,0,1
22.94,15,0,5.65,0,0,1
23.95,15,0,5.77,0,0,1
24.98,15,0,6.24,1,0,1
25.99,15,0,6.69,1,0,1
27.01,15,0,7.03,1,0,1
28.01,15,0,7.41,1,0,1
29.11,15,0,7.68,1,0,1
30.11,15,0,7.79,1,0,1
31.11,15,0,7.94,1,0,1
32.14,15,0,8.11,1,0,1
33.14,15,0,8.30,1,0,1
34.14,15,0,8.35,1,0,1
35.16,15,0,8.69,1,0,1
36.17,15,0,8.79,1,0,1
37.18,15,0,8.90,1,0,1
